"Date","Price","Open","High","Low","Vol","Change"
"0ar 22, 2016","416.2","411.1","417.9","410.8","49.080","1.24%"
"0ar 21, 2016","411.1","411.5","413.1","407.3","43.160","-0.10%"
"0ar 20, 2016","411.5","408.7","413.5","407.2","30.540","0.69%"
"0ar 19, 2016","408.7","408.2","410.5","402.1","37.000","0.13%"
"0ar 18, 2016","408.2","418.2","418.6","402.5","66.070","-2.39%"
"0ar 17, 2016","418.2","415.9","419.6","415.3","43.820","0.54%"
"0ar 16, 2016","415.9","415.1","417.0","413.3","44.540","0.19%"
"0ar 15, 2016","415.1","414.3","417.4","412.3","48.600","0.20%"
"0ar 14, 2016","414.3","412.4","416.1","411.2","49.330","0.46%"
"0ar 13, 2016","412.4","410.4","415.9","409.6","34.980","0.50%"
"0ar 12, 2016","410.4","419.1","420.7","407.0","59.640","-2.09%"
"0ar 11, 2016","419.1","415.8","422.4","415.1","60.630","0.79%"
"0ar 10, 2016","415.8","412.8","417.5","410.3","55.740","0.74%"
"0ar 09, 2016","412.8","411.9","414.9","408.9","50.920","0.21%"
"0ar 08, 2016","411.9","414.9","416.7","408.4","53.770","-0.72%"
"0ar 07, 2016","414.9","406.0","416.6","402.0","61.770","2.19%"
"0ar 06, 2016","406.0","399.0","412.0","393.1","62.590","1.74%"
"0ar 05, 2016","399.0","409.5","410.1","386.9","129.150","-2.56%"
"0ar 04, 2016","409.5","419.6","423.4","407.2","75.270","-2.40%"
"0ar 03, 2016","419.6","425.4","425.8","414.9","78.900","-1.36%"
"0ar 02, 2016","425.4","434.0","435.9","423.9","57.750","-2.00%"
"0ar 01, 2016","434.0","436.2","439.0","428.5","67.460","-0.50%"
"Feb 29, 2016","436.2","432.5","441.3","429.8","68.770","0.86%"
"Feb 28, 2016","432.5","431.3","435.6","421.2","50.850","0.27%"
"Feb 27, 2016","431.3","427.3","434.1","427.3","42.790","0.93%"
"Feb 26, 2016","427.3","423.5","427.6","419.1","53.210","0.91%"
"Feb 25, 2016","423.5","422.7","427.2","417.5","53.540","0.18%"
"Feb 24, 2016","422.7","419.9","425.2","410.4","66.510","0.67%"
"Feb 23, 2016","419.9","437.8","440.8","414.4","93.720","-4.09%"
"Feb 22, 2016","437.8","437.9","440.2","431.3","56.010","-0.02%"
"Feb 21, 2016","437.9","440.1","447.6","425.5","100.500","-0.50%"
"Feb 20, 2016","440.1","420.0","442.7","419.5","111.630","4.78%"
"Feb 19, 2016","420.0","421.4","424.3","416.4","52.240","-0.34%"
"Feb 18, 2016","421.4","417.1","425.5","414.8","77.350","1.02%"
"Feb 17, 2016","417.1","406.4","421.5","405.0","90.320","2.64%"
"Feb 16, 2016","406.4","401.1","409.8","398.0","68.330","1.33%"
"Feb 15, 2016","401.1","405.5","410.9","396.6","86.130","-1.09%"
"Feb 14, 2016","405.5","390.1","405.9","390.1","73.590","3.95%"
"Feb 13, 2016","390.1","384.0","392.6","383.3","48.160","1.58%"
"Feb 12, 2016","384.0","379.5","386.4","379.3","53.760","1.21%"
"Feb 11, 2016","379.5","381.9","383.2","372.8","62.650","-0.64%"
"Feb 10, 2016","381.9","375.3","385.4","374.1","97.490","1.75%"
"Feb 09, 2016","375.3","372.6","377.6","371.4","55.360","0.72%"
"Feb 08, 2016","372.6","377.9","380.9","372.1","62.240","-1.40%"
"Feb 07, 2016","377.9","376.7","382.6","375.3","40.740","0.33%"
"Feb 06, 2016","376.7","386.5","386.4","372.9","78.850","-2.53%"
"Feb 05, 2016","386.5","390.6","391.1","384.5","60.920","-1.07%"
"Feb 04, 2016","390.6","368.0","391.8","368.0","101.870","6.15%"
"Feb 03, 2016","368.0","373.9","375.9","366.2","59.810","-1.58%"
"Feb 02, 2016","373.9","372.2","376.6","371.4","50.980","0.47%"
"Feb 01, 2016","372.2","369.8","379.8","365.3","74.350","0.63%"
"Jan 31, 2016","369.8","377.8","380.5","366.9","39.020","-2.10%"
"Jan 30, 2016","377.8","380.3","381.8","375.0","36.180","-0.67%"
"Jan 29, 2016","380.3","379.7","385.8","363.5","138.460","0.16%"
"Jan 28, 2016","379.7","395.0","395.4","376.7","77.320","-3.88%"
"Jan 27, 2016","395.0","389.8","397.4","389.4","43.680","1.34%"
"Jan 26, 2016","389.8","392.8","397.7","387.9","56.810","-0.76%"
"Jan 25, 2016","392.8","402.1","403.8","386.9","67.660","-2.33%"
"Jan 24, 2016","402.1","388.6","405.4","385.5","64.540","3.48%"
"Jan 23, 2016","388.6","382.6","395.4","380.3","61.380","1.56%"
"Jan 22, 2016","382.6","410.2","411.5","374.9","144.860","-6.73%"
"Jan 21, 2016","410.2","414.6","423.4","403.9","89.940","-1.05%"
"Jan 20, 2016","414.6","379.5","425.7","374.0","190.320","9.26%"
"Jan 19, 2016","379.5","384.4","386.7","375.9","66.350","-1.29%"
"Jan 18, 2016","384.4","382.5","387.3","373.2","69.300","0.50%"
"Jan 17, 2016","382.5","385.0","390.7","377.7","66.090","-0.67%"
"Jan 16, 2016","385.0","372.3","386.7","350.4","183.960","3.43%"
"Jan 15, 2016","372.3","429.1","430.1","364.7","268.140","-13.25%"
"Jan 14, 2016","429.1","432.2","433.7","427.0","46.170","-0.71%"
"Jan 13, 2016","432.2","445.0","443.7","420.4","92.040","-2.89%"
"Jan 12, 2016","445.0","447.7","448.4","443.1","44.590","-0.60%"
"Jan 11, 2016","447.7","446.2","451.1","441.8","56.590","0.34%"
"Jan 10, 2016","446.2","448.3","448.9","438.6","44.460","-0.47%"
"Jan 09, 2016","448.3","452.9","454.5","444.9","39.810","-1.01%"
"Jan 08, 2016","452.9","457.0","462.9","446.5","91.310","-0.91%"
"Jan 07, 2016","457.0","430.8","457.5","428.5","130.200","6.09%"
"Jan 06, 2016","430.8","431.2","432.1","425.0","43.430","-0.09%"
"Jan 05, 2016","431.2","433.3","435.3","428.9","45.030","-0.49%"
"Jan 04, 2016","433.3","430.7","435.3","428.6","53.010","0.61%"
"Jan 03, 2016","430.7","433.7","434.1","423.1","54.830","-0.70%"
"Jan 02, 2016","433.7","434.0","437.4","430.7","33.570","-0.06%"
"Jan 01, 2016","434.0","430.0","438.0","425.9","46.970","0.94%"
"Dec 31, 2015","430.0","427.1","433.1","417.1","65.210","0.66%"
"Dec 30, 2015","427.1","431.9","435.0","420.8","68.270","-1.10%"
"Dec 29, 2015","431.9","421.8","433.6","419.3","70.650","2.41%"
"Dec 28, 2015","421.8","422.4","429.9","417.1","68.350","-0.15%"
"Dec 27, 2015","422.4","415.4","425.5","406.1","67.580","1.69%"
"Dec 26, 2015","415.4","454.0","456.5","400.5","208.580","-8.52%"
"Dec 25, 2015","454.0","453.0","457.4","449.5","42.390","0.24%"
"Dec 24, 2015","453.0","442.4","460.6","441.8","79.600","2.38%"
"Dec 23, 2015","442.4","437.0","444.8","434.3","63.250","1.24%"
"Dec 22, 2015","437.0","437.6","443.2","433.3","65.790","-0.13%"
"Dec 21, 2015","437.6","441.8","445.5","424.0","121.990","-0.95%"
"Dec 20, 2015","441.8","461.2","462.8","431.1","121.530","-4.21%"
"Dec 19, 2015","461.2","463.2","466.0","452.3","61.310","-0.43%"
"Dec 18, 2015","463.2","455.5","466.1","453.5","83.410","1.68%"
"Dec 17, 2015","455.5","454.0","458.4","447.3","64.580","0.34%"
"Dec 16, 2015","454.0","462.6","465.2","437.4","185.220","-1.87%"
"Dec 15, 2015","462.6","442.0","464.2","440.7","107.060","4.67%"
"Dec 14, 2015","442.0","434.7","449.5","428.8","218.920","1.68%"
"Dec 13, 2015","434.7","432.3","441.0","420.8","64.140","0.56%"
"Dec 12, 2015","432.3","449.8","467.7","403.7","211.440","-3.90%"
"Dec 11, 2015","449.8","415.5","453.4","413.7","175.060","8.26%"
